======================================================================
  CATAN BOT SIMULATION -- 2026-04-03 15:35:53
  Variant: base-3-4, Players: 4, VP Target: 10
======================================================================

PLAYERS:
  1. Bot Bob (blue)
  2. Bot Alice (red)
  3. Bot Diana (orange)
  4. Bot Charlie (white)

----------------------------------------------------------------------
TURN LOG:
----------------------------------------------------------------------

T 89 | SYSTEM         | resource-distribution | resource-distribution
T 89 | Bot Bob        | maritime-trade       | 4:1 ore→grain
T 89 | Bot Bob        | build-settlement     | built settlement
T 89 | Bot Bob        | maritime-trade       | 2:1 brick→lumber
T 90 | Bot Bob        | end-turn             | ended turn
T 90 | Bot Alice      | dice-roll            | 5+5=10
T 90 | SYSTEM         | resource-distribution | resource-distribution
T 90 | Bot Alice      | maritime-trade       | 3:1 ore→grain
T 91 | Bot Alice      | end-turn             | ended turn
T 91 | Bot Diana      | dice-roll            | 3+6=9
T 91 | SYSTEM         | resource-distribution | resource-distribution
T 91 | Bot Diana      | maritime-trade       | 3:1 wool→ore
T 92 | Bot Diana      | end-turn             | ended turn
T 92 | Bot Charlie    | dice-roll            | 1+4=5
T 92 | SYSTEM         | resource-distribution | resource-distribution
T 92 | Bot Charlie    | buy-dev-card         | bought dev card
T 92 | Bot Charlie    | maritime-trade       | 3:1 brick→lumber
T 92 | Bot Charlie    | build-road           | built road
T 93 | Bot Charlie    | end-turn             | ended turn
T 93 | Bot Bob        | dice-roll            | 4+6=10
T 93 | SYSTEM         | resource-distribution | resource-distribution
T 94 | Bot Bob        | end-turn             | ended turn
T 94 | Bot Alice      | dice-roll            | 1+6=7
T 94 | Bot Alice      | move-robber          | moved robber
T 94 | Bot Alice      | steal                | stole from Bot Diana
T 94 | Bot Alice      | build-city           | upgraded to city
T 95 | Bot Alice      | end-turn             | ended turn
T 95 | Bot Diana      | play-knight          | played knight
T 95 | Bot Diana      | move-robber          | moved robber
T 95 | Bot Diana      | steal                | stole from Bot Alice
T 95 | Bot Diana      | maritime-trade       | 3:1 grain→lumber
T 96 | Bot Diana      | end-turn             | ended turn
T 96 | Bot Charlie    | dice-roll            | 3+2=5
T 96 | SYSTEM         | resource-distribution | resource-distribution
T 96 | Bot Charlie    | play-road-building   | play-road-building
T 97 | Bot Charlie    | end-turn             | ended turn
T 97 | Bot Bob        | dice-roll            | 4+5=9
T 97 | SYSTEM         | resource-distribution | resource-distribution
T 98 | Bot Bob        | end-turn             | ended turn
T 98 | Bot Alice      | dice-roll            | 1+2=3
T 98 | SYSTEM         | resource-distribution | resource-distribution
T 98 | Bot Alice      | maritime-trade       | 3:1 grain→lumber
T 98 | Bot Alice      | build-road           | built road
T 99 | Bot Alice      | end-turn             | ended turn
T 99 | Bot Diana      | dice-roll            | 2+2=4
T 99 | SYSTEM         | resource-distribution | resource-distribution
T 99 | Bot Diana      | maritime-trade       | 3:1 lumber→wool
T 99 | Bot Diana      | buy-dev-card         | bought dev card
T 99 | Bot Diana      | maritime-trade       | 3:1 grain→lumber
T100 | Bot Diana      | end-turn             | ended turn
T100 | Bot Charlie    | dice-roll            | 5+1=6
T100 | SYSTEM         | resource-distribution | resource-distribution
T100 | Bot Charlie    | build-settlement     | built settlement
T100 | Bot Charlie    | maritime-trade       | 3:1 brick→lumber
T101 | Bot Charlie    | end-turn             | ended turn
T101 | Bot Bob        | dice-roll            | 1+3=4
T101 | SYSTEM         | resource-distribution | resource-distribution
T101 | Bot Bob        | build-road           | built road
T101 | Bot Bob        | maritime-trade       | 2:1 brick→grain
T101 | Bot Bob        | build-settlement     | built settlement
T102 | Bot Bob        | end-turn             | ended turn
T102 | Bot Alice      | dice-roll            | 5+4=9
T102 | SYSTEM         | resource-distribution | resource-distribution
T103 | Bot Alice      | end-turn             | ended turn
T103 | Bot Diana      | dice-roll            | 4+4=8
T103 | SYSTEM         | resource-distribution | resource-distribution
T103 | Bot Diana      | build-road           | built road
T103 | Bot Diana      | maritime-trade       | 3:1 wool→lumber
T103 | Bot Diana      | build-road           | built road
T104 | Bot Diana      | end-turn             | ended turn
T104 | Bot Charlie    | dice-roll            | 4+5=9
T104 | SYSTEM         | resource-distribution | resource-distribution
T104 | Bot Charlie    | build-road           | built road
T104 | Bot Charlie    | buy-dev-card         | bought dev card
T104 | Bot Charlie    | maritime-trade       | 3:1 brick→lumber
T105 | Bot Charlie    | end-turn             | ended turn
T105 | Bot Bob        | dice-roll            | 3+6=9
T105 | SYSTEM         | resource-distribution | resource-distribution
T105 | Bot Bob        | maritime-trade       | 4:1 ore→lumber
T105 | Bot Bob        | build-road           | built road
T106 | Bot Bob        | end-turn             | ended turn
T106 | Bot Alice      | dice-roll            | 1+5=6
T106 | SYSTEM         | resource-distribution | resource-distribution
T106 | Bot Alice      | maritime-trade       | 3:1 brick→lumber
T106 | Bot Alice      | build-road           | built road
T107 | Bot Alice      | end-turn             | ended turn
T107 | Bot Diana      | dice-roll            | 5+2=7
T107 | Bot Diana      | move-robber          | moved robber
T107 | Bot Diana      | steal                | stole from Bot Alice
T107 | Bot Diana      | maritime-trade       | 3:1 grain→wool
T107 | Bot Diana      | buy-dev-card         | bought dev card
T107 | Bot Diana      | VICTORY              | WON with 10 VP!

======================================================================
GAME OVER -- Turn 107
======================================================================

WINNER: Bot Diana with 10 Victory Points!

FINAL STANDINGS:
  1. Bot Diana -- 10 VP (S:5 C:0 LR:true LA:false)
  2. Bot Alice -- 6 VP (S:2 C:1 LR:false LA:true)
  3. Bot Charlie -- 6 VP (S:5 C:0 LR:false LA:false)
  4. Bot Bob -- 5 VP (S:5 C:0 LR:false LA:false)

STATISTICS:
  Total turns: 106
  Game duration: 22.9s
  Dice distribution: 2:2, 3:7, 4:8, 5:15, 6:14, 7:18, 8:13, 9:10, 10:8, 11:6, 12:0
  Maritime trades: 44
  Robberies: 24
  Dev cards bought: 13
  Dev cards played: 6
  Longest road: Bot Diana
  Largest army: Bot Alice (3 knights)
  Game views received: 357
  Log entries captured: 469
